__time,/joy/axes[0],/joy/axes[1],/joy/axes[2],/joy/axes[3],/joy/axes[4],/joy/axes[5],/joy/axes[6],/joy/axes[7],/joy/buttons[0],/joy/buttons[10],/joy/buttons[11],/joy/buttons[1],/joy/buttons[2],/joy/buttons[3],/joy/buttons[4],/joy/buttons[5],/joy/buttons[6],/joy/buttons[7],/joy/buttons[8],/joy/buttons[9],/joy/header/stamp/nanosec,/joy/header/stamp/sec,/pose/header/header/stamp,/pose/pose/orientation/pitch,/pose/pose/orientation/roll,/pose/pose/orientation/w,/pose/pose/orientation/x,/pose/pose/orientation/y,/pose/pose/orientation/yaw,/pose/pose/orientation/z,/pose/pose/position/x,/pose/pose/position/y,/pose/pose/position/z,/sensor/attitude_twist/angular/x,/sensor/attitude_twist/angular/y,/sensor/attitude_twist/angular/z,/sensor/attitude_twist/linear/x,/sensor/attitude_twist/linear/y,/sensor/attitude_twist/linear/z,/sensor/pressure/data,/usbl_data/azimuth,/usbl_data/beacon_id,/usbl_data/depth,/usbl_data/elevation,/usbl_data/header/stamp/nanosec,/usbl_data/header/stamp/sec,/usbl_data/pitch,/usbl_data/position/x,/usbl_data/position/y,/usbl_data/position/z,/usbl_data/range,/usbl_data/roll,/usbl_data/yaw
1739444404.791788,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,791787867.000000000,1739444404.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739444404.842537,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,842537091.000000000,1739444404.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739444404.893446,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,893446157.000000000,1739444404.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739444404.943536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1265.400024414,,,,,,,,,,,,,
1739444404.943578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1265.400024414,,,,,,,,,,,,,
1739444404.943676,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,943676464.000000000,1739444404.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739444404.992627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.002789731,0.003994962,2.241036654,0.000000000,0.000000000,0.000000000,,,,,,,,,,,,,,
1739444404.992664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.002789731,0.003994962,2.241036654,0.000000000,0.000000000,0.000000000,,,,,,,,,,,,,,
1739444404.993975,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,993974799.000000000,1739444404.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739444405.044487,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,44486817.000000000,1739444405.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739444405.095516,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,95516249.000000000,1739444405.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739444405.145820,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,145820453.000000000,1739444405.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739444405.196095,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,196094765.000000000,1739444405.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739444405.295035,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,295034557.000000000,1739444405.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739444405.345391,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,345390473.000000000,1739444405.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739444405.395982,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,395981737.000000000,1739444405.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1739444405.442898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1268.000000000,,,,,,,,,,,,,
